YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,NS28,376,62
2021-09,WEEKDAY,22,TRAIN,NS28,620,130
2021-09,WEEKDAY,0,TRAIN,DT10,12,63
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,DT10,5,23
2021-09,WEEKDAY,10,TRAIN,EW16/NE3,15688,22995
2021-09,WEEKENDS/HOLIDAY,10,TRAIN,EW16/NE3,3525,4470
2021-09,WEEKENDS/HOLIDAY,9,TRAIN,CC14,1939,980
2021-09,WEEKDAY,9,TRAIN,CC14,6997,6030
2021-09,WEEKENDS/HOLIDAY,14,TRAIN,EW27,11218,11737
2021-09,WEEKDAY,14,TRAIN,EW27,24502,29322
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,NS27/CE2,5,30
2021-09,WEEKDAY,0,TRAIN,NS27/CE2,10,90
2021-09,WEEKDAY,18,TRAIN,DT27,21194,7646
2021-09,WEEKENDS/HOLIDAY,18,TRAIN,DT27,1962,1596
2021-09,WEEKENDS/HOLIDAY,11,TRAIN,NS7,1053,1021
2021-09,WEEKDAY,11,TRAIN,NS7,3344,3034
2021-09,WEEKDAY,16,TRAIN,SW4,1022,1147
2021-09,WEEKENDS/HOLIDAY,16,TRAIN,SW4,355,324
2021-09,WEEKDAY,10,TRAIN,CC5,2240,4411
2021-09,WEEKENDS/HOLIDAY,10,TRAIN,CC5,532,1274
2021-09,WEEKDAY,13,TRAIN,CC23,5965,5608
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,CC23,968,864
2021-09,WEEKDAY,22,TRAIN,EW33,895,770
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,EW33,282,332
2021-09,WEEKENDS/HOLIDAY,14,TRAIN,CC21,2471,2291
2021-09,WEEKDAY,14,TRAIN,CC21,5683,6086
2021-09,WEEKENDS/HOLIDAY,18,TRAIN,EW24/NS1,25972,24206
2021-09,WEEKDAY,18,TRAIN,EW24/NS1,137947,93157
2021-09,WEEKDAY,7,TRAIN,NE10,16106,25453
2021-09,WEEKENDS/HOLIDAY,7,TRAIN,NE10,2394,2231
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,EW22,1236,1142
2021-09,WEEKDAY,8,TRAIN,EW22,7297,16245
2021-09,WEEKDAY,7,TRAIN,BP10,9511,2732
2021-09,WEEKENDS/HOLIDAY,7,TRAIN,BP10,982,473
2021-09,WEEKDAY,15,TRAIN,NE10,11260,10343
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,NE10,3477,3620
2021-09,WEEKDAY,18,TRAIN,EW22,9962,10226
2021-09,WEEKENDS/HOLIDAY,18,TRAIN,EW22,1153,1482
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,CC25,2291,1290
2021-09,WEEKDAY,15,TRAIN,CC25,5719,4356
2021-09,WEEKDAY,12,TRAIN,CE1/DT16,8046,14881
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,CE1/DT16,4018,8292
2021-09,WEEKDAY,10,TRAIN,SW6,3515,1454
2021-09,WEEKENDS/HOLIDAY,10,TRAIN,SW6,1330,539
2021-09,WEEKDAY,17,TRAIN,DT31,6369,10651
2021-09,WEEKENDS/HOLIDAY,17,TRAIN,DT31,2089,2395
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,CC14,1446,1651
2021-09,WEEKDAY,15,TRAIN,CC14,8804,6432
2021-09,WEEKENDS/HOLIDAY,14,TRAIN,CC16,1717,1495
2021-09,WEEKDAY,14,TRAIN,CC16,5807,4495
2021-09,WEEKDAY,10,TRAIN,EW11,9321,11998
2021-09,WEEKENDS/HOLIDAY,10,TRAIN,EW11,3598,4456
2021-09,WEEKENDS/HOLIDAY,6,TRAIN,NS24/NE6/CC1,687,1668
2021-09,WEEKDAY,6,TRAIN,NS24/NE6/CC1,2870,8170
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,EW19,9,85
2021-09,WEEKDAY,0,TRAIN,EW19,37,173
2021-09,WEEKDAY,10,TRAIN,CC22/EW21,8086,12819
2021-09,WEEKENDS/HOLIDAY,10,TRAIN,CC22/EW21,3316,3587
2021-09,WEEKDAY,8,TRAIN,CC8,8057,7150
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,CC8,1634,1314
2021-09,WEEKDAY,17,TRAIN,NE7/DT12,27143,18596
2021-09,WEEKENDS/HOLIDAY,17,TRAIN,NE7/DT12,9595,9053
2021-09,WEEKENDS/HOLIDAY,17,TRAIN,EW33,1102,698
2021-09,WEEKDAY,17,TRAIN,EW33,7845,1249
2021-09,WEEKDAY,0,TRAIN,NS8,376,2102
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,NS8,175,783
2021-09,WEEKENDS/HOLIDAY,18,TRAIN,NS14,7829,9808
2021-09,WEEKDAY,18,TRAIN,NS14,30151,63107
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,EW17,7547,7231
2021-09,WEEKDAY,12,TRAIN,EW17,16198,16311
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,NE17/PTC,88,828
2021-09,WEEKDAY,0,TRAIN,NE17/PTC,234,1843
2021-09,WEEKDAY,13,TRAIN,BP12,3289,1403
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,BP12,686,489
2021-09,WEEKDAY,14,TRAIN,NS17/CC15,14528,6793
2021-09,WEEKENDS/HOLIDAY,14,TRAIN,NS17/CC15,3972,2705
2021-09,WEEKDAY,16,TRAIN,CC10/DT26,10436,9563
2021-09,WEEKENDS/HOLIDAY,16,TRAIN,CC10/DT26,4225,3574
2021-09,WEEKDAY,6,TRAIN,DT28,8139,6112
2021-09,WEEKENDS/HOLIDAY,6,TRAIN,DT28,1165,535
2021-09,WEEKENDS/HOLIDAY,5,TRAIN,DT7,21,5
2021-09,WEEKDAY,5,TRAIN,DT7,100,93
2021-09,WEEKDAY,11,TRAIN,PW5,1734,1332
2021-09,WEEKENDS/HOLIDAY,11,TRAIN,PW5,781,505
2021-09,WEEKENDS/HOLIDAY,18,TRAIN,BP3,1142,1431
2021-09,WEEKDAY,18,TRAIN,BP3,3393,8482
2021-09,WEEKDAY,22,TRAIN,CC28,871,2589
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,CC28,406,1007
2021-09,WEEKENDS/HOLIDAY,13,TRAIN,SW6,965,818
2021-09,WEEKDAY,13,TRAIN,SW6,4068,3406
2021-09,WEEKDAY,17,TRAIN,DT21,7746,2972
2021-09,WEEKENDS/HOLIDAY,17,TRAIN,DT21,1748,1192
2021-09,WEEKENDS/HOLIDAY,19,TRAIN,NE12/CC13,7527,8584
2021-09,WEEKDAY,19,TRAIN,NE12/CC13,21970,33164
2021-09,WEEKENDS/HOLIDAY,6,TRAIN,EW31,289,1605
2021-09,WEEKDAY,6,TRAIN,EW31,675,9660
2021-09,WEEKENDS/HOLIDAY,15,TRAIN,EW7,3368,3929
2021-09,WEEKDAY,15,TRAIN,EW7,7441,10451
2021-09,WEEKENDS/HOLIDAY,17,TRAIN,NE12/CC13,8818,9914
2021-09,WEEKDAY,17,TRAIN,NE12/CC13,23402,30938
2021-09,WEEKENDS/HOLIDAY,8,TRAIN,NS21/DT11,9331,11097
2021-09,WEEKDAY,8,TRAIN,NS21/DT11,50922,65780
2021-09,WEEKDAY,0,TRAIN,NE16/STC,272,2064
2021-09,WEEKENDS/HOLIDAY,0,TRAIN,NE16/STC,143,844
2021-09,WEEKDAY,23,TRAIN,CC23,770,165
2021-09,WEEKENDS/HOLIDAY,23,TRAIN,CC23,161,63
2021-09,WEEKDAY,22,TRAIN,DT13,5334,2327
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,DT13,1244,839
2021-09,WEEKDAY,23,TRAIN,NE14,1501,11636
2021-09,WEEKENDS/HOLIDAY,23,TRAIN,NE14,597,4612
2021-09,WEEKDAY,22,TRAIN,NS9/TE2,15322,27372
2021-09,WEEKENDS/HOLIDAY,22,TRAIN,NS9/TE2,6217,10545
2021-09,WEEKENDS/HOLIDAY,12,TRAIN,DT22,1652,2174
